title,year,authors,doi,source,Link,abstract,language
Predicting Absenteeism at Work Using Tree-Based Learners,2019,"Zaman Wahid, A. K. M. Zaidi Satter, Abdullah Al Imran, Touhid Bhuiyan",10.1145/3310986.3310994,ACM,https://doi.org/10.1145/3310986.3310994,"Absenteeism at workplace acts as a crucial role in demonstrating the productive and profitable capacity of a company. Thus the knowledge of absenteeism of employees' becomes the foundation for an organization in its multiple dimensions. Because the proper determination of employees' profile allows the identification of excesses of occurrences of certain morbidities. The early absenteeism research primarily focused on predicting the characteristics and the categories of diseases of employees that make them perform higher absenteeism at workplace. However, predicting the absenteeism time of employees using different machine learning classifiers is able to give the researches a new dimension in line with the intention of revealing the underlying causes and patterns of absenteeism. In this paper, we have applied 4 prominent machine learning algorithms namely Decision Tree, Gradient Boosted Tree, Random Forest, and Tree Ensemble on the absenteeism dataset of a courier company in Brazil in order to predict the absenteeism time of employees at work as well as the best classifier. Based on the 7 evaluation metrics such as True Positive, True Negative, False Positive, False Negative, Sensitivity, Specificity, and Accuracy we found that Gradient Boosted Tree produced the best result with an accuracy rate of 82% whereas Tree Ensemble performed the lowest with the accuracy rate of 79%.",en
Risk Factors Associated with Hospital Unwarned Appointment Absenteeism : A logistic binary regression approach,2022,"Miguel Maia, Ana I. Borges, Mariana Cavalho",10.1145/3545839.3545848,ACM,https://doi.org/10.1145/3545839.3545848,"One of the main problems faced by health institutions is the unwarned absenteeism of patients in medical appointments. Patients’ no-shows, without prior notice, can result in loss of revenue for health centres and increasing waiting lines. Hence, there is a need to predict the non-attendance of patients to improve health institutions’ management performance. In this paper, a brief literature review was carried out to understand which factors can be related to patients’ absenteeism, and which forecasting methods are often applied to discover patterns in health datasets. As the logistic binary regression model has been proved to be effective on that matter, it was applied to a real hospital data set comprising information on 98.511 patients, with a corresponding 645.576 appointments, in a period between 2018 and 2020. Results indicate a significant effect on the chance of appointment attendance of patient age, patient gender, patient Marital Status, number of previous appointments, appointment month, precipitation levels, Lead time, and the number of previous no-show appointments.",en
Unexplained absenteeism : A simulation approach,1974,"Shlomo Globerson, Phiroze J. Nagarvala",10.1145/800287.811167,ACM,https://doi.org/10.1145/800287.811167,"Unexplained absenteeism among workers in American Industry is significantly increasing and can cause severe dislocation in output. The authors use simulation as a technique to predict unexplained absenteeism. The model is based on real world data including the probability of the first day of absence and the length of such absence as a function of the day of the week. The results include a prediction of the future pattern of unexplained absence, the size of the standby worker pool to ensure a minimum work force with given confidence, and an estimation of the maximum monetary incentive to be offered in order to modify worker absentee behavior.",en
Explaining student absenteeism in Morocco using TIMSS 2023 data: a deep learning and explainable AI approach,2025,A. Elouafi; I. Tammouch; S. Nouna; A. Nouna,10.1109/ICOA66896.2025.11236843,IEEE Xplore,https://doi.org/10.1109/ICOA66896.2025.11236843,"In Morocco, learning equity and academic success are seriously threatened by student absenteeism, especially in important subjects like science, math, and languages. Since absenteeism is one of the primary causes of school dropout, which is a priority in the 2022‚Äì2026 Strategic Roadmap for Education Reform, it continues to erode classroom participation despite efforts by educational staff to curb its spread. Using information from the TIMSS 2023 survey, which was given to eighth-grade Moroccan students, this study examines the primary variables linked to perceived student absenteeism. An autoencoder-based dimensionality reduction technique was used to extract latent features that capture crucial patterns across student, teacher, and school-level data to manage the high dimensionality of the TIMSS dataset. To differentiate between schools with high and low perceived absenteeism levels, these features were then used to train several machine learning classification models, such as Support Vector Machine (SVM), Random Forest, and XGBoost. The most significant latent features and their matching original variables were interpreted using SHAP values to improve model transparency. The findings demonstrate how important it is for classroom climate, teacher practices, and institutional factors like class size, teaching strategies, technology support, and teacher expectations to influence absenteeism dynamics. In addition to showing the promise of explainable AI in educational research, this method offers practical insights to guide focused interventions in line with national education priorities.",en
Employee Absenteeism Prediction Using Machine Learning,2023,P. K. Kushwaha; A. Rana; S. Srivastava; A. Saifi; A. Tavish; P. Chaturvedi,10.1109/UPCON59197.2023.10434342,IEEE Xplore,https://doi.org/10.1109/UPCON59197.2023.10434342,"This paper presents a comprehensive review of the current state-of-the-art in employee absenteeism prediction using machine learning techniques. The paper begins by providing an overview of the various factors that contribute to absenteeism, including employee demographics, job characteristics, organizational factors, and personal factors. It then discusses the different types of data that can be used to predict absenteeism, such as attendance records, performance data, and survey data. Next, the paper reviews various machine learning techniques that have been applied to predict employee absenteeism, including decision trees, logistic regression, support vector machines, and neural networks [2]. Each technique is described in detail, along with its advantages and limitations. The paper also discusses the importance of feature selection and data preprocessing in improving the accuracy of absenteeism prediction models. Finally, the paper discusses the challenges and limitations of using machine learning techniques for employee absenteeism prediction. These include data privacy concerns, the need for high-quality data, and the potential for bias in the models [4]. The paper concludes with recommendations for organizations considering implementing a machine learning-based absenteeism prediction system, including the need for a clear business case, stakeholder buy-in, and a plan for monitoring and evaluating the system's effectiveness [5].",en
The Application of Machine Learning in Predicting Absenteeism at Work,2021,B. Hu,10.1109/CDS52072.2021.00054,IEEE Xplore,https://doi.org/10.1109/CDS52072.2021.00054,"The employee attendance is an important indicator to judge employees' work attitude and measure their workload, which directly impact the development of the corporation. Meanwhile, the absenteeism, referring to the employees' intentional or habitual absence from work, is also significant for the whole company. Having a good knowledge of the reasons and the predictions of employees' absenteeism can help the leaders to adjust the ways of working and be prepared to avoid the major effect on company finances, morale and other factors, which made by decreased productivity. While the leaders may judge the absenteeism subjectively, which is inaccurate and time-consuming., by means of machine learning, the prediction of employees' absenteeism can be more objective and efficient. In this paper, we used the data provided by UCI machine learning database, which was created with records of absenteeism at work of a courier company in Brazil, to build absenteeism prediction model. We first conduct descriptive statistical analysis, and then employ four classical machine learning models to solve the problem. The integrated learning algorithm has the highest accuracy, which reaches 52% on the test set.",en
Classifying Relevant Causes of Employee Absenteeism Using Machine Learning,2023,I. Fosiƒá; A. ≈Ωivkoviƒá; I. Fosiƒá,10.23919/MIPRO57284.2023.10159947,IEEE Xplore,https://doi.org/10.23919/MIPRO57284.2023.10159947,"Employee absenteeism has a significant impact on the organization as it imposes high costs that can be reflected in the organization‚Äôs economic results. The impact can be seen in productivity, sustainability, competitiveness, profitability, and inter-organizational relations. Considering the wide range of causes of absenteeism, this paper provides a systematic overview of the causes considering different theoretical approaches. A primary survey was conducted (N=420), and the causes of absenteeism were divided into two groups of causes (personal causes and organizational causes). Unsupervised and supervised machine learning methods were applied to the data set. In the unsupervised machine learning phase, the Elbow data grouping method was applied, and the K-Means algorithm was used to assign each record in the dataset to a specific cluster. In supervised machine learning, the data were divided into learning and testing parts in a 70/30 ratio, and the Random Forest (RF), Decision Tree (DT), Support Vector Machines (SVM), and k-Nearest Neighbors (K-NN) classification algorithms were used. The best performance and area under the ROC curve (AUC) values are obtained using the RF classification algorithm. Using the machine learning algorithm RF, the main causes of absenteeism in both groups of causes of absenteeism were identified. From the group of personal causes (personal illness as well as illness of family members), from the group of organizational causes (mobbing, conflict with work colleagues) stand out the most important causes of absenteeism.",en
Predicting and Analyzing Absenteeism at Workplace Using Machine Learning Algorithms,2020,A. Rista; J. Ajdari; X. Zenuni,10.23919/MIPRO48935.2020.9245118,IEEE Xplore,https://doi.org/10.23919/MIPRO48935.2020.9245118,"Absenteeism is the usual or recurrent absence from work is continuously causing disruption in the smooth running of business, affecting the organizational performance and productivity and impacting on the employees' morale. The Oil Refinery in Albania (ARMO), employing 1200 employees is facing high rate of absences. If necessary measures are not being serious dealt with, the issue of absenteeism may jeopardize the operation and production. Prediction of absenteeism is too complex influenced by many factors. Usage of data mining and machine learning algorithms is a good solution to predict and analyze it. The aim of this paper is to identify and evaluate the appropriate ML algorithms to predict and analyses absenteeism at workplace. The dataset taken into account consists of some attributes such as: age, education, employment category, day, month, length of service ect, and 125000 records are considered. Analysis and comparison of various algorithms in terms of accuracy, precision and sensitivity are done in Weka tool.",en
Machine Learning as a Data Science Tool to Predict Absenteeism for Factory Workers,2022,J. Rajath; D. Pandita,10.1109/ICDABI56818.2022.10041623,IEEE Xplore,https://doi.org/10.1109/ICDABI56818.2022.10041623,"Employee absenteeism results in the loss of billions of dollars in revenue for organizations around the globe. Studies estimate a 3% loss of scheduled labor hours due to these unexpected and uncertain absences. Hence predicting these unforeseen absences would allow efficient workforce planning and help lower overtime costs for organizations. This paper has looked at the issue from the POV of the management to explore the absenteeism in blue-collared workers employed at the Research and Development center of one of India‚Äôs biggest fast-moving consumer goods companies. The paper has used basic Machine Learning algorithms models such as Logistic Regression, XGBoost, Random Forest, and Support Vector Machines to predict absenteeism in these employees by analyzing the data collated from various employment records in the company over two years (2017-2019). The paper has also compared their accuracy in making these predictions, thereby letting us know if these algorithms would suffice in making these predictions or if there is a need to deploy more superior and powerful computational models to do so.",en
Efficient Hybrid Ensemble Learning Algorithms for Employee Absenteeism Prediction,2024,M. M. Ahmed; A. Ismail Al-Alawi,10.1109/OIDT59407.2024.11082695,IEEE Xplore,https://doi.org/10.1109/OIDT59407.2024.11082695,"Employee absenteeism forms a significant economic load on businesses, as its complex naturemakes it difficult to predict and manage. This study investigates the potential of Hybrid Ensemble LearningAlgorithms to reveal sophisticated patterns in absenteeism factors and enhance prediction accuracy. Various individual evolutionary algorithms were applied to predict the risk level of absence by using a Brazilian Courier Company's absenteeism records dataset, then the results were compared to the results of variousHybrid Ensemble algorithms constructed based on the individual algorithms as a Meta-learner using the same dataset. The findings reveal that hybrid ensembles outperform individual algorithms, with the KNN-basedhybrid ensemble achieving the highest accuracy, exceedingly even the leading individual algorithm (XGBoost). This demonstrates the effectiveness of hybrid ensembles in capturing sophisticated interactions between absenteeism factors, offeringvaluable insights for HR management. By adopting these advanced algorithms, organizations can develop more precise prediction models and implement targeted interventions to reduce absenteeism, improving productivity and cost savings. To the best of our knowledge, our study is the first to compare the performance of the hybrid approaches (averaging, voting, and stacking) to each other and with other individual algorithms to investigate absenteeism prediction and the first to classify the risk level ofabsenteeism into four categories based on the quartile rule, As a result, the study will be valuable to use morecomplex hybrid algorithms in the context of employee absenteeism and providing useful insights into the risk levels for absenteeism.",en
